Ward,long,lat
Allens Cross,-1.97991002,52.41384888
Binley and Willenhall,-1.45986998,52.39051056
Cheylesmore,-1.48861003,52.38673019
King's Norton South,-1.93037999,52.39875031
Bordesley & Highgate,-1.88618004,52.47341919
Sutton Trinity,-1.83164001,52.56196976
Gravelly Hill,-1.84862995,52.51266098
Heartlands,-1.83308005,52.47854996
Bartley Green,-1.99405003,52.43265152
Woodlands,-1.58529997,52.41379929
Darlaston South,-2.0436101,52.56523895
St Michael's,-1.48303,52.41005
Small Heath,-1.84322,52.46738815
Bushbury South and Low Hill,-2.11825991,52.60681152
Earlsdon,-1.53392994,52.39311981
Newtown,-1.61665,52.498112
Erdington,-1.83082998,52.52938843
Greets Green and Lyng,-2.01046991,52.51876068
St Matthew's,-1.98234999,52.58406067
Perry Common,-1.86107004,52.53850937
Longbridge & West Heath,-1.97100997,52.39500046
Holbrook,-1.51437998,52.44313812
Soho and Victoria,-1.95562994,52.49253845
Bilston North,-2.07693005,52.57432175
Wednesfield South,-2.07680011,52.59730148
Great Bridge,-2.04052997,52.53165817
Garretts Green,-1.78066003,52.47296143
Nechells,-1.87546003,52.49443817
Ladywood,-1.91375995,52.4769783
St Alphege,-1.78196001,52.40793991
Moseley,-1.89154994,52.44308853
Radford,-1.51717997,52.42549133
Silhill,-1.77916002,52.42065048
Wednesbury South,-2.02320004,52.54143906
Tettenhall Regis,-2.17185998,52.60366821
Tettenhall Wightwick,-2.18571997,52.58713913
Birchills Leamore,-2.00392008,52.60074997
Acocks Green,-1.82411003,52.44332123
Bloxwich West,-2.01950002,52.62197876
Olton,-1.80707002,52.43421936
"Netherton, Woodside and St Andrews",-2.0936799,52.49346161
Pelsall,-1.96939003,52.62845993
Tyseley & Hay Mills,-1.83453,52.45262909
Shard End,-1.77389002,52.49365997
Aldridge Central and South,-1.91902006,52.59941101
Pheasey Park Farm,-1.92086005,52.56494141
Blakenall,-1.98379004,52.60110092
Druids Heath & Monyhull,-1.90217996,52.40980148
St Thomas's,-2.07685995,52.50426865
Aston,-1.8888,52.502209
Friar Park,-1.99133003,52.55596924
Harborne,-1.96034002,52.45964813
Sparkhill,-1.86418998,52.4478302
Heath Town,-2.10372996,52.59693146
Park,-2.10581,52.60101
Smethwick,-1.98114002,52.48974991
Brownhills,-1.93965006,52.64989853
Rowley,-2.05444002,52.49106979
Charlemont with Grove Vale,-1.97145998,52.54251862
Merry Hill,-2.16940999,52.5696907
East Park,-2.09383988,52.5825882
Billesley,-1.87521005,52.42158127
Gornal,-2.13413,52.52120972
Wednesfield North,-2.05821991,52.61354065
Pleck,-2.00487995,52.57902908
Willenhall South,-2.05300999,52.58509827
Quinton,-1.988793273,52.45310156
Wednesbury North,-2.01867008,52.55926895
Graiseley,-2.14788008,52.57627106
Longford,-1.485907701,52.4558779
Perry Barr,-1.90369999,52.52651978
Henley,-1.44702005,52.43339157
Wordsley,-2.16265011,52.48072815
Brockmoor and Pensnett,-2.13501,52.4980011
Alum Rock,-1.84985995,52.49048996
St James's,-2.089423902,52.51251079
Brierley Hill,-2.12700009,52.48035812
Sparkbrook & Balsall Heath East,-1.86724997,52.46022034
Princes End,-2.05623007,52.54257965
Castle and Priory,-2.09426999,52.52217865
Meriden,-1.64821994,52.39921951
Aldridge North and Walsall Wood,-1.93068004,52.63048172
Ettingshall,-2.0996201,52.56781006
Halesowen South,-2.03677011,52.44493866
Weoley & Selly Oak,-1.95790994,52.43473053
Knowle,-1.72643006,52.3819809
Soho & Jewellery Quarter,-1.92886996,52.49282837
Bickenhill,-1.71931005,52.43544006
Bromford & Hodge Hill,-1.80755997,52.49921036
Brandwood & King's Heath,-1.89726996,52.42573929
Stockland Green,-1.86188996,52.52175903
Hateley Heath,-1.99552,52.5358696
Halesowen North,-2.03033996,52.46667099
Coseley East,-2.09015012,52.54428864
Bablake,-1.56303,52.44039917
North Edgbaston,-1.94828999,52.48168182
Oldbury,-2.02456999,52.50780869
Birchfield,-1.91383004,52.50938034
Balsall Heath West,-1.89315999,52.46020126
Northfield,-1.961924774,52.41056541
Lozells,-1.90866005,52.50207901
Bentley and Darlaston North,-2.0267899,52.57994843
Glebe Farm & Tile Cross,-1.77631998,52.48237991
Castle Vale,-1.78612006,52.51853943
Quarry Bank and Dudley Wood,-2.09308004,52.48001099
Amblecote,-2.1408,52.46744919
Bordesley Green,-1.86575997,52.4716301
West Bromwich Central,-1.98415005,52.52043152
Stirchley,-1.91667998,52.42673874
Westwood,-1.57869995,52.39619064
St Pauls,-1.97816002,52.5008316
Sutton Walmley & Minworth,-1.77198005,52.53897095
Yardley West & Stechford,-1.81701005,52.47655106
Penn,-2.15359998,52.5616684
Blackheath,-2.039087604,52.47710506
St Peter's,-2.1283,52.58745
Palfrey,-1.97788,52.56734085
Hayley Green and Cradley South,-2.07642007,52.44498062
Old Warley,-2.00102997,52.47011185
Norton,-2.15764999,52.44039917
Sheldon,-1.78266001,52.46157074
Tipton Green,-2.06333995,52.52442169
Chelmsley Wood,-1.73178005,52.48115921
Hall Green North,-1.84153998,52.43254852
Bournville & Cotteridge,-1.94342995,52.42525101
Blythe,-1.82362998,52.38111877
Foleshill,-1.49879003,52.43059158
Upper Stoke,-1.47419,52.41759109
Oxley,-2.14929008,52.61766815
Bristnall,-1.99644005,52.48265839
Abbey,-1.997890657,52.48296112
Sutton Reddicap,-1.79413998,52.56415939
Belle Vale,-2.072482056,52.45703043
Bushbury North,-2.12100005,52.62696838
Sutton Vesey,-1.86125004,52.56351852
Shirley East,-1.81673002,52.41268158
Bilston East,-2.07025003,52.55947113
Sutton Roughley,-1.79779994,52.58287048
Yardley East,-1.79990995,52.47214127
Kingstanding,-1.88005996,52.54602051
Cradley Heath and Old Hill,-2.07567,52.47021103
Great Barr with Yew Tree,-1.95299995,52.55400848
Pype Hayes,-1.81317997,52.52009964
Smith's Wood,-1.74633002,52.50207138
Elmdon,-1.76709998,52.4381218
Oscott,-1.90028,52.54468918
Lyndon,-1.79465997,52.4455986
